Value,Description,Reference
0,octetArray,[RFC5102]
1,unsigned8,[RFC5102]
2,unsigned16,[RFC5102]
3,unsigned32,[RFC5102]
4,unsigned64,[RFC5102]
5,signed8,[RFC5102]
6,signed16,[RFC5102]
7,signed32,[RFC5102]
8,signed64,[RFC5102]
9,float32,[RFC5102]
10,float64,[RFC5102]
11,boolean,[RFC5102]
12,macAddress,[RFC5102]
13,string,[RFC5102]
14,dateTimeSeconds,[RFC5102]
15,dateTimeMilliseconds,[RFC5102]
16,dateTimeMicroseconds,[RFC5102]
17,dateTimeNanoseconds,[RFC5102]
18,ipv4Address,[RFC5102]
19,ipv6Address,[RFC5102]
20,basicList,[RFC6313]
21,subTemplateList,[RFC6313]
22,subTemplateMultiList,[RFC6313]
23-255,Unassigned,
